item_id,item_name,brand,kcal_100g,protein_100g,carbs_100g,fat_100g,serving_size,quantity,source
103783001,greek yogurt,Chobani,86.666666666667,7.3333333333333,10.666666666667,1.6666666666667,,,openfoodfacts
107972030,Fajita Chicken W/ Wholegrain Rice,Fuelhub,97.2277227722772,10.8910891089109,10.2970297029703,1.04950495049505,1 portion (505 g),,openfoodfacts
1247,Shake Mix Vanilla Flavour,Herbalife,376.0,36.0,42.0,7.2,100.0g,,openfoodfacts
127534563,German fine bread,,263.0,7.02,52.63,3.51,2 SLICES (57 g),,openfoodfacts
1328,Harvest whole wheat bread,"Trader Joe's, E.Leclerc",232.55813953488,11.627906976744,41.860465116279,4.6511627906977,,,openfoodfacts
136010485,Jalapeno Cheddar Pepperoni,Beaverlodge Butcher Shop,163.636363636364,18.1818181818182,1.81818181818182,9.09090909090909,1 portion (55 g),,openfoodfacts
1526,Sourdough Bread,Trader Joe's,214.285714285714,8.3909925,59.11805,1.403875,1 portion (56 g),24 oz,openfoodfacts
1564,Fromage blanc pêche,,98.0,4.6,7.6,3.3,,,openfoodfacts
1977,Cracked Wheat Sourdough Bread,Trader Joe's,211.538461538462,7.69230769230769,46.1538461538462,0.961538461538462,1 slice (52 g),24 oz,openfoodfacts
200003146,Oven Baked Prawn Cocktail,Walkers,94.0,1.1,15.0,2.8,22 g,,openfoodfacts
200008498,Walkers Crisp Famously Worcester Sauce Crisps,Walkers,508.126195028681,6.3,53.0,29.0,25 g,,openfoodfacts
200010279,Seriously Salt & Vinegar,Walkers,512.0,6.0,52.0,29.2,1 bag (25 g),,openfoodfacts
2204,MK Seed Mix,,474.0,27.0,0.8,35.0,,680 g,openfoodfacts
236555909,"Bakers Best, White Bread",Wise Woodworks,235.0,8.82,50.0,1.47,1.2 ONZ (34 g),,openfoodfacts
236598784,"Bakers Best, Rye Bread",Wise Woodworks,256.0,7.69,53.85,2.56,1 SLICE (39 g),,openfoodfacts
260814065,Gluten free multigrain bread,Trader Joe's,156.010056985294,2.37644724264706,33.5025772058824,1.90959191176471,36 g,360 g,openfoodfacts
300001023,Saucisson sec au poivre les fines tranches,,380.0,23.6,1.6,31.0,,,openfoodfacts
300001056,Salami de dinde,,297.0,17.1,5.4,23.0,,,openfoodfacts
3117,Bonbons de chocolat assortis,,491.0,6.23,39.62,33.74,,,openfoodfacts
400075290,citroenijs merengue,,177.0,4.0,24.0,6.5,,,openfoodfacts
481216818,Mini bagels,,279.0,9.3,58.14,2.33,1 BAGEL (43 g),,openfoodfacts
4913,Rold Gold Heartzels,,285.0,7.14,57.14,3.57,,7 oz,openfoodfacts
500104277,Nutella biscuits,,515.0,7.9,64.0,24.8,,,openfoodfacts
595416477,Salami Bites,The Mad Butcher,443.0,27.0,5.0,35.0,1 portion (40 g),,openfoodfacts
764716698,Apple Cider,Ryan's,45.83333,0.41667,11.66667,0.0,,1.89L,openfoodfacts
790870043,Skippy wafer bar,Skippy,555.555555555556,16.6666666666667,41.6666666666667,33.3333333333333,1 bar (36 g),1 X 1.3 OZ,openfoodfacts
833000716,Gourmet Blueberry Muffin,American Classic,355.932203389831,6.77966101694915,33.8983050847458,20.3389830508475,1 muffin (59 g),,openfoodfacts
861468056,Pain mie toast nature canape,Harrys,290.0,8.6,49.0,6.0,100.0g,,openfoodfacts
901887106,Wild Nordic Blueberries From Lac-Saint-Jean,Délices Du Lac-Saint-Jean,50.0,0.714285714285714,12.1428571428571,0.0,1 portion (140 g),,openfoodfacts
958651485,Strawberry Lemon Drink,Poppi,8.45070422535211,0.0,2.53521126760563,0.0,355 ml (355 ml),,openfoodfacts
981491549,Barretta sostitutivo pasto,,362.0,28.0,32.0,12.0,,60 g,openfoodfacts
1000850853,Mini baguette,Schär,248.0,4.40000009536743,46.0,3.70000004768372,35.0g,,openfoodfacts
1004874405,Baies de goji,,370.0,12.0,78.0,1.5,,,openfoodfacts
1005320421,Bonbons acidulés,,381.0,1.7,89.0,1.9,,,openfoodfacts
1005333021,Nuggets poulet épicés,,235.0,14.3,18.5,11.8,,1 kg,openfoodfacts
1005598870,Litchis de ma cherie Elisabeth,,59.0,0.6,13.0,0.5,,,openfoodfacts
1005798729,Prime,,0.0,0.02,0.0,0.0,,,openfoodfacts
1005935372,welli bites,,256.0,0.3,0.0,0.0,,,openfoodfacts
1005996798,"Galletti, Moulino Bianco",,486.0,7.4,65.0,21.0,,,openfoodfacts
1115056311,"Low fat yogurt, vanilla",Roundy's,128.0,3.96,24.67,1.54,1 cup (227 g),,openfoodfacts
13086,Bircher Muesli,M&S Food,177.894736842105,4.6,20.4,8.2,1 serving (100 g),190 g,openfoodfacts
13277,Vegan Protein - Neutral Flavour,Trader Joe's,70.5882352941177,15.2941176470588,0.0,1.17647058823529,13 frozen shrimp (85 g),16 oz,openfoodfacts
1380092438,Cauliflower Crust Pepperoni Pizza,Vital Pursuit,212.290502793296,12.2905027932961,21.2290502793296,8.93854748603352,1 pizza (179 g),,openfoodfacts
1501424018,TZATZIKI CREAMY GARLIC CUCUMBER DIP,,125.0,1.79,7.14,8.93,,12 oz,openfoodfacts
15929,CHICKEN CURRY AND YELLOW RICE,FIT FOOD 4U,105.162523900573,10.6333333333333,12.0,1.1,300 g serving (300 g),,openfoodfacts
17619,Chilli con Carne,Marks & Spencer,119.0,5.5,18.0,2.7,,,openfoodfacts
1849265094,Lemon Raspberry Muffin,Kirkland Signature,381.818181818182,4.54545454545455,45.4545454545455,20.9090909090909,1 Muffin (110 g),,openfoodfacts
2000007003,"Giant white enriched bread, white",,269.0,7.69,46.15,3.85,1 SLICE (26 g),,openfoodfacts
2000007119,Hot dog 8 enriched buns,,256.0,9.3,46.51,4.65,1 BUN (43 g),,openfoodfacts
2000007201,Seeded hamburger 8 enriched buns,Tyrrell's,256.0,9.3,46.51,4.65,1 ROLL (43 g),,openfoodfacts
2000007355,100% whole wheat bread,,250.0,10.71,42.86,3.57,1 SLICE (28 g),,openfoodfacts
2000271206,6 english muffins,,228.0,8.77,45.61,2.63,1 MUFFIN (57 g),,openfoodfacts
20061,Bunter Pfeffer,Hanse&Pepper,296.0,10.4,54.5,3.4,,500g,openfoodfacts
2100004681,Crunchy Taco Shells,Taco Bell,531.25,6.25,59.375,28.125,3 shell (32 g),,openfoodfacts
2100063039,Deli Deluxe Fresh Cheese Mild Cheddar Slices,Kraft,434.782608695652,26.0869565217391,0.0,34.7826086956522,1 serving (23 g),,openfoodfacts
2114001955,Greek Nonfat Yogurt,Winn-Dixie,82.0,8.24,12.94,0.0,170 g (1 CONTAINER),,openfoodfacts
2114016110,Italian Bread,Winn-Dixie,228.0,8.77,45.61,1.75,2 ONZ (57 g),,openfoodfacts
2114016111,French Bread,Winn-Dixie,228.0,8.77,45.61,1.75,2 ONZ (57 g),,openfoodfacts
22514,Garlic And Dill Cheese Curds,Mouse House,366.666666666667,23.3333333333333,0.0,30.0,1 about 7 pieces (30 g),,openfoodfacts
2265570186,All Natural Turkey Breakfast Sausage,Butterball,197.533651268448,16.9314558230098,1.41095465191749,14.1095465191749,70.874 g,,openfoodfacts
2362759070,"Plain greek nonfat yogurt, plain",,59.0,10.0,4.12,0.0,3/4 cup (170 g),,openfoodfacts
2362759071,"Vanilla greek nonfat yogurt, vanilla",,76.0,8.82,10.0,0.0,3/4 cup (170 g),,openfoodfacts
2412600918,Sandwich buns,Lewis Bakeries  Inc.,186.0,9.3,44.19,1.16,1 BUN (43 g),,openfoodfacts
2412601716,Whole wheat bread,Lewis Bakeries  Inc.,214.0,10.71,42.86,3.57,1 SLICE (28 g),,openfoodfacts
