item_name,cat,kcal_100g,fat_100g,carbs_100g,protein_100g,source,cat_l1,cat_l2,cat_l3,item_name_word_count
crunchy almond butter,almond butters,593.75,52.5,8.76,21.4,off,sweets & confectionery,jams & spreads,almond butters,3
pita bread,pitas,20.0,0.0,4.6,1.2,off,grains & pasta,bread,pitas,2
corn flakes,corn flakes,350.0,0.0,75.0,5.0,off,grains & pasta,cereal,corn flakes,2
goober,pates-a-tartiner-vegetales,392.85714285714,17.857142857143,51.785714285714,8.9285714285714,off,,,pates-a-tartiner-vegetales,1
seedless red raspberry jam,berry jams,9.79833075637234,0.0,2.54756599665681,0.0,off,sweets & confectionery,jams & spreads,berry jams,4
strawberry jam,strawberry jams,250.0,0.0,65.0,0.0,off,sweets & confectionery,jams & spreads,strawberry jams,2
peach preserves,canned peach in light syrup,58.8235294117647,0.0,29.4117647058824,0.0,off,fruits,canned & preserved fruits,canned peach in light syrup,2
strawberry fruit spread,berry jams,250.0,0.19640625,39.33044921875,0.386640625,off,sweets & confectionery,jams & spreads,berry jams,3
natural peanut butter,peanut butters,593.75,49.0324384,14.7796352,22.7686272,off,sweets & confectionery,jams & spreads,peanut butters,3
creamy peanut butter,peanut butters,575.757575757576,44.754525,18.57315,20.2662,off,sweets & confectionery,jams & spreads,peanut butters,3
extra crunchy peanut butter,peanut butters,575.757575757576,47.0569125,19.803975,19.9503,off,sweets & confectionery,jams & spreads,peanut butters,4
extra crunchy peanut butter,peanut butters,575.757575757576,47.0569780875,19.804,19.9503297,off,sweets & confectionery,jams & spreads,peanut butters,4
creamy peanut butter,peanut butters,575.757575757576,47.039025,19.79715,19.9422,off,sweets & confectionery,jams & spreads,peanut butters,3
peanut butter spread,peanut butters,575.757575757576,16.0,8.0,7.0,off,sweets & confectionery,jams & spreads,peanut butters,3
peanut butter spread,peanut butters,593.75,48.4848484848485,24.2424242424242,21.2121212121212,off,sweets & confectionery,jams & spreads,peanut butters,3
peanut butter spread,peanut butters,625.0,49.32561875,11.089825,17.084325,off,sweets & confectionery,jams & spreads,peanut butters,3
peanut butter spread,peanut butters,606.060606060606,49.32561875,11.089825,17.084325,off,sweets & confectionery,jams & spreads,peanut butters,3
chocolate peanut butter,peanut butters,571.428571428571,42.9,37.1,14.3,off,sweets & confectionery,jams & spreads,peanut butters,3
reduced fat creamy peanut butter,peanut butters,527.777777777778,33.3333333333333,41.6666666666667,19.4444444444444,off,sweets & confectionery,jams & spreads,peanut butters,5
extra crunchy peanut butter,crunchy peanut butters,593.75,44.5339125,21.482975,20.1663,off,sweets & confectionery,jams & spreads,crunchy peanut butters,4
peanut butter spread and honey,peanut butters,593.75,44.1176470588235,29.4117647058824,20.5882352941176,off,sweets & confectionery,jams & spreads,peanut butters,5
creamy peanut butter,creamy-peanut-butters,575.757575757576,44.754525,20.07015,20.2662,off,,,creamy-peanut-butters,3
peanut butter,pates-a-tartiner-vegetales,600.0,46.6666666666667,26.6666666666667,20.0,off,,,pates-a-tartiner-vegetales,2
creamy peanut butter,nut butters,576.923076923077,48.0769230769231,25.6410256410256,22.4358974358974,off,sweets & confectionery,jams & spreads,nut butters,3
low fat philadelphia kefir,yogurts,46.0,0.83,5.0,4.58,off,dairy & eggs,yogurt,yogurts,4
fresh made kefir amish,yogurts,62.0,3.33,5.0,3.33,off,dairy & eggs,yogurt,yogurts,4
kefir cultured grade a milk,yogurts,62.0,1.04,6.25,3.33,off,dairy & eggs,yogurt,yogurts,5
happy kids kefir,yogurts,62.0,3.33,5.0,3.33,off,dairy & eggs,yogurt,yogurts,3
farmer cheese,quarks,160.0,11.2,4.0,10.4,off,dairy & eggs,yogurt,quarks,2
fresh made kefir non fat,yogurts,38.0,0.0,5.0,3.75,off,dairy & eggs,yogurt,yogurts,5
kefir cultured grade a milk,yogurts,70.833333333333,4.5833333333333,4.1666666666667,2.9166666666667,off,dairy & eggs,yogurt,yogurts,5
fresh made kefir peach,yogurts,50.0,2.08,7.5,3.75,off,dairy & eggs,yogurt,yogurts,4
peanut butter spread,peanut butters,573.445,49.3392875,12.36205,16.73805,off,sweets & confectionery,jams & spreads,peanut butters,3
almond butter,almond butters,625.0,64.375,6.57,16.05,off,sweets & confectionery,jams & spreads,almond butters,2
klosterman rye bread,rye breads,244.0,3.66,43.9,9.76,off,grains & pasta,bread,rye breads,3
dark rye bread dark rye,breads,244.0,2.44,43.9,9.76,off,grains & pasta,bread,breads,5
klosterman big white bread,breads,258.0,3.23,48.39,6.45,off,grains & pasta,bread,breads,4
split top homestyle wheat bread,breads,258.06,3.23,45.16,9.68,off,grains & pasta,bread,breads,5
potato bread,breads,296.0,3.7,55.56,7.41,off,grains & pasta,bread,breads,2
bread,breads,233.33333333333,3.3333333333333,46.666666666667,13.333333333333,off,grains & pasta,bread,breads,1
greek style pita bread,pitas,270.58823529412,4.7058823529412,48.235294117647,9.4117647058824,off,grains & pasta,bread,pitas,4
west country luxury yogurt,vanilla yogurt,148.0,8.1000003814697,15.199999809265,3.5999999046326,off,dairy & eggs,yogurt,vanilla yogurt,4
natural hickory smoked ham,prepared meats,120.0,4.0,2.0,16.0,off,meat,processed meats & cold cuts,prepared meats,4
homestyle brown sugar ham,prepared meats,120.0,4.0,6.0,16.0,off,meat,processed meats & cold cuts,prepared meats,4
elsanta strawberries and cream,strawberry yogurts,119.0,6.73,11.33,2.93,off,dairy & eggs,yogurt,strawberry yogurts,4
paleo bread,breads,171.0,12.2,12.2,7.32,off,grains & pasta,bread,breads,2
premium english muffins,breads,211.0,1.75,42.11,8.77,off,grains & pasta,bread,breads,3
cheese and garlic croutons,breads,428.57142857143,14.285714285714,71.428571428571,14.285714285714,off,grains & pasta,bread,breads,4
blended lowfat yogurt,yogurts,112.0,0.88,21.76,4.12,off,dairy & eggs,yogurt,yogurts,3
lowfat yogurt,yogurts,112.0,0.88,21.76,4.12,off,dairy & eggs,yogurt,yogurts,2
lowfat yogurt,yogurts,112.0,0.88,21.76,4.12,off,dairy & eggs,yogurt,yogurts,2
light nonfat yogurt,yogurts,53.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,3
split top wheat enriched bread,breads,269.23,3.85,50.0,11.54,off,grains & pasta,bread,breads,5
white enriched bread,breads,250.0,3.57,50.0,7.14,off,grains & pasta,bread,breads,3
honey wheat bread,breads,250.0,1.79,50.0,10.71,off,grains & pasta,bread,breads,3
enriched bread,breads,231.0,1.92,46.15,11.54,off,grains & pasta,bread,breads,2
round top white enriched bread,breads,293.0,3.66,56.1,9.76,off,grains & pasta,bread,breads,5
sandwich white enriched bread,white breads,250.0,3.57,50.0,7.14,off,grains & pasta,bread,white breads,4
white enriched bread,breads,269.0,3.85,53.85,7.69,off,grains & pasta,bread,breads,3
low fat yogurt vanilla,vanilla yogurt,82.3529411764706,0.588235294117647,14.7058823529412,3.52941176470588,off,dairy & eggs,yogurt,vanilla yogurt,4
lowfat yogurt,yogurts,106.0,0.88,20.0,4.12,off,dairy & eggs,yogurt,yogurts,2
nonfat greek yogurt,greek-style yogurts,93.0,0.0,14.0,8.0,off,dairy & eggs,yogurt,greek-style yogurts,3
plain bagels,bagel breads,259.0,1.18,55.29,8.24,off,grains & pasta,bread,bagel breads,2
bagels,bagel breads,247.0,1.18,55.29,8.24,off,grains & pasta,bread,bagel breads,1
everything bagels,breads,271.0,2.94,49.41,9.41,off,grains & pasta,bread,breads,2
greek nonfat yogurt,greek-style yogurts,87.0,0.0,13.33,8.0,off,dairy & eggs,yogurt,greek-style yogurts,3
plain lowfat yogurt,yogurts,66.0,1.76,7.49,4.85,off,dairy & eggs,yogurt,yogurts,3
flour tortillas,breads,281.25,7.8125,50.0,6.25,off,grains & pasta,bread,breads,2
portable lowfat yogurt,yogurts,94.0,0.78,18.75,3.12,off,dairy & eggs,yogurt,yogurts,3
yo whoa portable lowfat yogurt,yogurts,94.0,0.78,17.19,3.12,off,dairy & eggs,yogurt,yogurts,5
portable lowfat yogurt,yogurts,94.0,0.78,18.75,3.12,off,dairy & eggs,yogurt,yogurts,3
greek nonfat yogurt,greek-style yogurts,84.0,0.0,12.78,8.37,off,dairy & eggs,yogurt,greek-style yogurts,3
plain greek nonfat yogurt,greek-style yogurts,57.0,0.22,3.96,10.13,off,dairy & eggs,yogurt,greek-style yogurts,4
lowfat yogurt,yogurts,94.0,0.88,17.65,2.94,off,dairy & eggs,yogurt,yogurts,2
lowfat yogurt,yogurts,94.0,0.88,17.65,2.94,off,dairy & eggs,yogurt,yogurts,2
seasoned bread crumbs,bread crumbs,382.0,4.41,70.59,14.71,off,grains & pasta,bread,bread crumbs,3
light nonfat yogurt,yogurts,59.0,0.0,11.18,3.53,off,dairy & eggs,yogurt,yogurts,3
plain bagels,bagel breads,244.6809,1.5957,47.8723,10.6383,off,grains & pasta,bread,bagel breads,2
pre sliced bagels cinnamon raisin,bagel breads,255.31914893617,1.5957446808511,50.0,10.63829787234,off,grains & pasta,bread,bagel breads,5
bagels,bagel breads,265.95744680851,3.7234042553191,47.872340425532,10.63829787234,off,grains & pasta,bread,bagel breads,1
english muffins original,whole-wheat english muffins,218.75,1.5625,43.75,7.8125,off,grains & pasta,bread,whole-wheat english muffins,3
wheat bread wheat,breads,269.230769230769,3.84615384615385,50.0,7.69230769230769,off,grains & pasta,bread,breads,3
wheat enriched bread,breads,296.3,3.7,62.96,11.11,off,grains & pasta,bread,breads,3
light nonfat yogurt,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,3
cherry cheesecake yogurt,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,3
probiotic lowfat yogurt,yogurts,97.0,0.88,19.47,2.65,off,dairy & eggs,yogurt,yogurts,3
fresh baked bread,breads,320.0,4.0,60.0,8.0,off,grains & pasta,bread,breads,3
wheat sandwich bread,breads,250.0,1.79,46.43,7.14,off,grains & pasta,bread,breads,3
sandwich white enriched bread,breads,277.0,3.19,53.19,8.51,off,grains & pasta,bread,breads,4
sourdough sandwich bread,sourdough-bread,244.897959183673,1.0,24.0,4.0,off,grains & pasta,bread,sourdough-bread,3
propel fitness water,waters,0.0,0.0,0.0,0.0,off,beverages,water,waters,3
zero gaterate,sweetened beverages,0.846,0.0,0.3384,0.0,off,beverages,soda & soft drinks,sweetened beverages,2
water,medicinal waters,0.0,0.0,0.0,0.0,off,,,medicinal waters,1
zero,diet beverages,0.0,0.0,0.0,0.0,off,,,diet beverages,1
gadorade,sweetened beverages,23.6886632825719,0.0,6.09137055837563,0.0,off,beverages,soda & soft drinks,sweetened beverages,1
gatorade thirst quencher lemon lime,sweetened beverages,23.688663282572,0.0,6.0913705583756,0.0,off,beverages,soda & soft drinks,sweetened beverages,5
shrimp flavor instant noodles,soups,466.666666666667,24.4837364116468,42.3582893773129,5.1190979807,off,soups,prepared soup,soups,4
pure vanilla extract,vanilla extract,0.0,0.0,0.0,0.0,off,,,vanilla extract,3
mayonesa mayonnaise,groceries,714.285714285714,78.57,0.0,0.0,off,other,undefined,groceries,2
vegetable fried rice,fried rice,118.556701030928,3.03723060206362,49.4487313360917,8.47582505075555,off,grains & pasta,rice,fried rice,3
organic plain nonfat yogurt,yogurts,41.2,0.0,6.47,4.12,off,dairy & eggs,yogurt,yogurts,4
organic vanilla nonfat yogurt,yogurts,64.7058823529412,0.0,11.7647058823529,4.11764705882353,off,dairy & eggs,yogurt,yogurts,4
banilla probiotic yoghuet,yogurts,88.235294117647,3.5294117647059,10.588235294118,3.5294117647059,off,dairy & eggs,yogurt,yogurts,3
yogurt,cow milk yogurts,94.1176470588235,3.52941176470588,11.7647058823529,3.52941176470588,off,dairy & eggs,yogurt,cow milk yogurts,1
organic plain nonfat yogurt,yogurts,47.0,0.0,6.67,4.67,off,dairy & eggs,yogurt,yogurts,4
lowfat yogurt,yogurts,70.5882352941177,0.882352941176471,11.1764705882353,3.52941176470588,off,dairy & eggs,yogurt,yogurts,2
stonyfield organic smoothie strawberry,yogurts,79.0,1.13,13.56,3.39,off,dairy & eggs,yogurt,yogurts,4
wild berry lowfat yogurt smoothie,smoothies,79.0,1.13,13.56,3.39,off,beverages,other beverages,smoothies,5
probiotic smoothie strawberry,smoothies,62.1468926553672,1.12994350282486,9.6045197740113,3.38983050847458,off,beverages,other beverages,smoothies,3
organic vanilla lowfat yogurt,yogurts,73.0,1.0,11.33,4.0,off,dairy & eggs,yogurt,yogurts,4
organic raspberry lowfat yogurt,yogurts,73.0,1.0,11.33,4.0,off,dairy & eggs,yogurt,yogurts,4
lowfat plain yogurt,low-fat yogurts,47.0588235294118,0.882352941176471,5.88235294117647,4.11764705882353,off,dairy & eggs,yogurt,low-fat yogurts,3
organic greek plain nonfat yogurt,greek-style yogurts,53.0,0.0,4.0,10.0,off,dairy & eggs,yogurt,greek-style yogurts,5
organic greek nonfat yogurt,yogurts,80.0,0.0,12.67,8.0,off,dairy & eggs,yogurt,yogurts,4
nonfat greek yogurt,greek-style yogurts,70.0,0.0,7.93,9.69,off,dairy & eggs,yogurt,greek-style yogurts,3
plain nonfat greek nonfat yogurt,greek-style yogurts,52.9411764705882,0.0,4.11764705882353,9.41176470588235,off,dairy & eggs,yogurt,greek-style yogurts,5
greek nonfat yogurt,greek-style yogurts,80.0,0.0,12.0,8.0,off,dairy & eggs,yogurt,greek-style yogurts,3
yokids organic squeezers,yogurts,107.0,1.79,19.64,3.57,off,dairy & eggs,yogurt,yogurts,3
strawberry beet berry yogurt,yogurts,100.0,3.5,12.0,5.0,off,dairy & eggs,yogurt,yogurts,4
greek nonfat yogurt,greek-style yogurts,70.0,0.0,13.66,7.93,off,dairy & eggs,yogurt,greek-style yogurts,3
organic kids strawberry banana yogurt,yogurts,88.0,3.1,10.62,3.54,off,dairy & eggs,yogurt,yogurts,5
organic kids blueberry,yogurts,90.909090909091,2.020202020202,13.131313131313,5.0505050505051,off,dairy & eggs,yogurt,yogurts,3
organic lowfat yogurt strawberry,yogurts,101.0,2.02,16.16,5.05,off,dairy & eggs,yogurt,yogurts,4
organic kids strawberry banana yogurt,yogurts,101.0,2.02,15.15,5.05,off,dairy & eggs,yogurt,yogurts,5
organic lowfat yogurt,yogurts,105.0,1.9,15.24,4.76,off,dairy & eggs,yogurt,yogurts,3
organic greek nonfat yogurt,yogurts,87.0,0.0,13.33,8.0,off,dairy & eggs,yogurt,yogurts,4
low fat creme,yogurts,93.0,1.67,13.33,6.67,off,dairy & eggs,yogurt,yogurts,3
nonfat yogurt and chia seeds,yogurts,87.0,0.67,12.67,8.0,off,dairy & eggs,yogurt,yogurts,5
organic lowfat yogurt,yogurts,101.0,2.02,16.16,5.05,off,dairy & eggs,yogurt,yogurts,3
wild quebec blueberry,yogurts,100.0,3.33,14.0,3.33,off,dairy & eggs,yogurt,yogurts,3
organic trilayer yogurt,yogurts,112.0,3.53,16.47,3.53,off,dairy & eggs,yogurt,yogurts,3
organic trilayer yogurt,yogurts,112.0,2.94,17.65,4.12,off,dairy & eggs,yogurt,yogurts,3
super grains greek nonfat yogurt,yogurts,93.0,0.0,14.0,8.67,off,dairy & eggs,yogurt,yogurts,5
super grains greek nonfat yogurt,yogurts,93.0,0.0,14.0,8.67,off,dairy & eggs,yogurt,yogurts,5
organic squeezers lowfat yogurt,yogurts,89.0,1.79,16.07,3.57,off,dairy & eggs,yogurt,yogurts,4
smooth and creamy lowfat yogurt,yogurts,75.0,0.88,12.78,3.96,off,dairy & eggs,yogurt,yogurts,5
organic greek yogurt,yogurts,93.0,3.0,9.33,8.0,off,dairy & eggs,yogurt,yogurts,3
organic greek yogurt,honey yogurts,127.0,3.0,17.33,8.0,off,dairy & eggs,yogurt,honey yogurts,3
organic greek yogurt,whole milk yogurts,100.0,3.0,10.67,8.0,off,dairy & eggs,yogurt,whole milk yogurts,3
organic double cream plain yogurt,yogurts,93.0,6.61,5.29,3.52,off,dairy & eggs,yogurt,yogurts,5
organic plain grassfed greek yogurt,greek-style yogurts,82.3529411764706,3.52941176470588,2.94117647058824,9.41176470588235,off,dairy & eggs,yogurt,greek-style yogurts,5
organic squeezers,yogurts,89.0,3.57,12.5,3.57,off,dairy & eggs,yogurt,yogurts,2
lowfat yogurt,yogurts,89.0,1.79,16.07,3.57,off,dairy & eggs,yogurt,yogurts,2
lowfat yogurt,yogurts,91.0,2.02,14.14,5.05,off,dairy & eggs,yogurt,yogurts,2
lowfat yogurt chocolate smoothie,yogurts,68.0,1.13,11.86,3.39,off,dairy & eggs,yogurt,yogurts,4
stonyfield organic kids,strawberry yogurts,89.285714285714,1.7857142857143,14.285714285714,3.5714285714286,off,dairy & eggs,yogurt,strawberry yogurts,3
yobaby banana apple and oat,yogurts,104.1667,3.125,12.5,5.2083,off,dairy & eggs,yogurt,yogurts,5
yogurt pouch,yogurts,101.0101010101,4.040404040404,12.121212121212,5.0505050505051,off,dairy & eggs,yogurt,yogurts,2
strawberry yogurt and coco chimps,yogurts,115.04424778761,1.7699115044248,15.044247787611,8.8495575221239,off,dairy & eggs,yogurt,yogurts,5
smoothie with prebiotics,fruit yogurts,70.0,1.0,16.0,1.0,off,dairy & eggs,yogurt,fruit yogurts,3
onion bagels,breads,270.58823529412,1.1764705882353,56.470588235294,9.4117647058824,off,grains & pasta,bread,breads,2
greek nonfat yogurt,greek-style yogurts,86.6666666666667,0.0,12.6666666666667,8.66666666666667,off,dairy & eggs,yogurt,greek-style yogurts,3
pretzel bagels,bagel breads,270.58823529412,1.1764705882353,55.294117647059,9.4117647058824,off,grains & pasta,bread,bagel breads,2
wheat bagels,bagel breads,258.82352941176,2.3529411764706,51.764705882353,10.588235294118,off,grains & pasta,bread,bagel breads,2
french bread,breads,266.666666666667,0.0,53.33,10.0,off,grains & pasta,bread,breads,2
rye bread,breads,266.67,0.0,53.33,10.0,off,grains & pasta,bread,breads,2
onion rye bread,breads,267.0,0.0,53.33,10.0,off,grains & pasta,bread,breads,3
pumpernickel rye,breads,267.0,0.0,53.33,10.0,off,grains & pasta,bread,breads,2
caraway rye deli bread,breads,267.0,0.0,53.33,10.0,off,grains & pasta,bread,breads,4
marble rye,breads,266.67,0.0,53.33,10.0,off,grains & pasta,bread,breads,2
new york cracked wheat bread,breads,267.0,0.0,53.33,10.0,off,grains & pasta,bread,breads,5
italian bread,breads,267.0,0.0,53.33,10.0,off,grains & pasta,bread,breads,2
multi grain bread,breads,263.0,2.63,52.63,10.53,off,grains & pasta,bread,breads,3
french sourdough,breads,266.67,0.0,53.33,10.0,off,grains & pasta,bread,breads,2
cinnamon bread,breads,289.0,1.11,57.78,8.89,off,grains & pasta,bread,breads,2
cinnamon apple bread,breads,289.0,1.11,57.78,8.89,off,grains & pasta,bread,breads,3
cinnamon raisin bread,breads,289.0,1.11,62.22,8.89,off,grains & pasta,bread,breads,3
english muffin,english muffins,233.0,10.85,22.48,11.63,off,grains & pasta,bread,english muffins,2
yogurt parfait with granola,yogurts,109.0,1.09,22.83,3.26,off,dairy & eggs,yogurt,yogurts,4
farmers grove orange juice,fruit juices,47.058823529412,0.0,10.882352941176,0.58823529411765,off,fruits,fruit juices,fruit juices,4
marshmallow fluff,sweet spreads,330.0,0.0,81.0,1.0,off,sweets & confectionery,jams & spreads,sweet spreads,2
low sodium organic vegetable broth,groceries,16.75856,0.0978206666666666,2.74440666666667,0.343678166666667,off,other,undefined,groceries,5
multi grain bread,breads,418.0,1.5,19.0,4.0,off,grains & pasta,bread,breads,3
paesamo italian boule,breads,232.14285714286,0.0,46.428571428571,7.1428571428571,off,grains & pasta,bread,breads,3
sharp cheddar sliced cheese,cheddar cheese,411.764705882353,29.41,0.0,23.53,off,dairy & eggs,cheese,cheddar cheese,4
roasted corn,corn,242.424242424242,3.7,67.2,8.1,off,vegetables,fresh vegetables,corn,2
pita bread original pockets,breads,250.94,2.08,48.55,7.0374,off,grains & pasta,bread,breads,4
fig and olive crisps,appetizers,300.0,5.76675,21.4295,6.04205,off,other,other,appetizers,4
speculoos cookie butter ice cream,ice creams,246.031746031746,14.2857142857143,30.1587301587302,3.17460317460317,off,dairy & eggs,ice cream & frozen yogurt,ice creams,5
white cheddar corn puffs,appetizers,500.0,17.8571428571429,71.4285714285714,7.14285714285714,off,other,other,appetizers,4
vanilla parfait,yogurts,136.0,1.36,27.17,3.26,off,dairy & eggs,yogurt,yogurts,2
probiotic blended lowfat yogurt blueberry,yogurts,94.12,0.59,17.65,2.94,off,dairy & eggs,yogurt,yogurts,5
probiotic blended lowfat yogurt mango,yogurts,112.0,0.88,21.76,4.12,off,dairy & eggs,yogurt,yogurts,5
u,yogurts,112.0,0.88,21.76,4.12,off,dairy & eggs,yogurt,yogurts,1
sabor latino banana,yogurts,112.0,0.8,21.76,4.1,off,dairy & eggs,yogurt,yogurts,3
la yogurt,yogurts,94.117647058824,2.9411764705882,13.529411764706,3.5294117647059,off,dairy & eggs,yogurt,yogurts,2
la yogurt,yogurts,94.117647058824,2.9411764705882,13.529411764706,3.5294117647059,off,dairy & eggs,yogurt,yogurts,2
probiotic banana yogurt,yogurts,94.0,2.94,13.53,3.53,off,dairy & eggs,yogurt,yogurts,3
la yogurt probiotic strawberry,yogurts,82.352941176471,0.58823529411765,15.294117647059,3.5294117647059,off,dairy & eggs,yogurt,yogurts,4
lite and sensible strawberry,yogurts,53.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,4
u,yogurts,53.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,1
probiotic blended lowfat yogurt raspberry,yogurts,94.12,0.59,18.24,2.94,off,dairy & eggs,yogurt,yogurts,5
yogurt,yogurts,58.8235294117647,0.0,11.1764705882353,3.52941176470588,off,dairy & eggs,yogurt,yogurts,1
la yogurt probiotic cherry,yogurts,82.352941176471,0.58823529411765,15.294117647059,3.5294117647059,off,dairy & eggs,yogurt,yogurts,4
probiotic plain lowfat yogurt,yogurts,58.8235294117647,1.47058823529412,7.05882352941176,4.71176470588235,off,dairy & eggs,yogurt,yogurts,4
probiotic lowfat yogurt,yogurts,112.0,2.06,19.41,4.12,off,dairy & eggs,yogurt,yogurts,3
probiotic lowfat yogurt,yogurts,112.0,2.06,19.41,4.12,off,dairy & eggs,yogurt,yogurts,3
probiotic lowfat yogurt,yogurts,112.0,2.06,19.41,4.12,off,dairy & eggs,yogurt,yogurts,3
probiotic lowfat yogurt,yogurts,118.0,2.06,20.59,4.12,off,dairy & eggs,yogurt,yogurts,3
lowfat yogurt,yogurts,112.0,2.06,19.41,4.12,off,dairy & eggs,yogurt,yogurts,2
probiotic nonfat yogurt,yogurts,82.0,1.47,13.53,3.53,off,dairy & eggs,yogurt,yogurts,3
probiotic nonfat yogurt,yogurts,82.0,1.47,13.53,3.53,off,dairy & eggs,yogurt,yogurts,3
probiotic lowfat yogurt,yogurts,120.0,3.33,18.0,3.33,off,dairy & eggs,yogurt,yogurts,3
la yogurt probiotico azuk,plain bifidus yogurts,52.9411764705882,0.0,7.64705882352941,5.29411764705882,off,dairy & eggs,yogurt,plain bifidus yogurts,4
plain greek nonfat yogurt plain,yogurts,60.0,0.0,4.67,10.0,off,dairy & eggs,yogurt,yogurts,5
plain greek lowfat yogurt plain,yogurts,73.3333333333333,2.0,4.66666666666667,10.0,off,dairy & eggs,yogurt,yogurts,5
pineapple greek lowfat yogurt pineapple,yogurts,93.0,1.67,11.33,8.0,off,dairy & eggs,yogurt,yogurts,5
raspberry greek lowfat yogurt raspberry,yogurts,93.0,1.67,12.0,8.0,off,dairy & eggs,yogurt,yogurts,5
strawberry greek lowfat yogurt strawberry,yogurts,93.0,1.67,11.33,8.0,off,dairy & eggs,yogurt,yogurts,5
all natural lowfat yogurt,yogurts,62.0,1.32,7.05,5.29,off,dairy & eggs,yogurt,yogurts,4
desi natural dahi,whole milk yogurts,58.823529411765,1.1764705882353,7.0588235294118,4.7058823529412,off,dairy & eggs,yogurt,whole milk yogurts,3
desi dahi,whole milk yogurts,70.588,2.941,5.882,4.11764705882353,off,dairy & eggs,yogurt,whole milk yogurts,2
lowfat yogurt,yogurts,62.0,1.33,7.11,4.89,off,dairy & eggs,yogurt,yogurts,2
la yogurt lowfat yogurt vanilla,yogurts,93.0,1.1,15.42,4.85,off,dairy & eggs,yogurt,yogurts,5
lowfat yogurt,yogurts,112.0,2.06,19.41,4.12,off,dairy & eggs,yogurt,yogurts,2
plain bagel,bagel breads,223.52941176471,4.1176470588235,41.176470588235,15.294117647059,off,grains & pasta,bread,bagel breads,2
greek nonfat yogurt coconut cream,yogurts,86.6666666666667,0.0,12.0,8.0,off,dairy & eggs,yogurt,yogurts,5
green ripe pitted olives,green pitted olives,133.333333333333,10.0,6.66666666666667,0.0,off,vegetables,"pickles, olives & peppers",green pitted olives,4
organic french baguette,breads,250.0,0.892857142857143,51.7857142857143,7.14285714285714,off,grains & pasta,bread,breads,3
pastrami style smoked atlantic salmon,smoked salmons,210.526315789474,14.0350877192982,0.0,21.0526315789474,off,fish & seafood,canned & smoked fish,smoked salmons,5
medium salsa,groceries,32.258064516129,0.0,2.0,0.0,off,other,undefined,groceries,2
probiotic drink,yogurt drinks,93.75,0.0,21.875,1.5625,off,dairy & eggs,yogurt,yogurt drinks,2
bread and butter spears,salted-snacks,35.7142857142857,0.0,17.86,0.0,off,snacks,other snacks,salted-snacks,4
kosher dill spears,salted-snacks,0.0,0.0,3.5714,0.0,off,snacks,other snacks,salted-snacks,3
snack mms kosher dill,salted-snacks,0.0,0.0,3.57,0.0,off,snacks,other snacks,salted-snacks,3
old fashioned sauerkraut,salted-snacks,3.84615384615385,0.0,3.57,0.0,off,snacks,other snacks,salted-snacks,3
sandwich dill chips,salted-snacks,17.8571428571429,0.0,3.57,0.0,off,snacks,other snacks,salted-snacks,3
italian bread,breads,214.28571428571,0.0,50.0,10.714285714286,off,grains & pasta,bread,breads,2
lavash flatbread,flatbreads,694.444444444444,11.5740740740741,131.172839506173,30.8641975308642,off,grains & pasta,bread,flatbreads,2
pizza crust,breads,289.689915364583,7.30086263020832,45.9986178385416,7.44785221354166,off,grains & pasta,bread,breads,2
organic chia seed,chia,500.0,33.3333333333333,33.3333333333333,20.8333333333333,off,other,other,chia,3
white sandwich bread,breads,166.478135633681,0.62749193250868,39.4491446940104,0.690473307291666,off,grains & pasta,bread,breads,3
low fat maple yogurt,yogurts,65.0,0.61,11.84,2.86,off,dairy & eggs,yogurt,yogurts,4
mustard country dijon,groceries,100.0,0.0,0.0,0.0,off,other,undefined,groceries,3
fire roasted diced green chiles,stews,33.3333333333333,0.0,6.6666666666667,0.0,off,prepared & frozen meals,prepared meals,stews,5
coconut water,coconut waters,21.0,0.0,5.8,0.0,off,beverages,other beverages,coconut waters,2
baked brie and brioche,breads,353.0,24.71,16.47,16.47,off,grains & pasta,bread,breads,4
creamy dill dip with rye,breads,242.0,12.12,25.76,6.06,off,grains & pasta,bread,breads,5
tortillas,corn flatbreads,237.81212841855,1.9817677368212,47.56242568371,7.927070947285,off,grains & pasta,bread,corn flatbreads,1
burrata prosciutto and arugula flatbread,frozen foods,256.637168141593,12.0,30.0,13.0,off,other,other,frozen foods,5
dinn ben s original,rice,144.0,5.0,71.0,7.0,off,grains & pasta,rice,rice,3
rice pilaf,meals,144.0,2.0,28.0,3.6,off,prepared & frozen meals,prepared meals,meals,2
basmati rice,basmati rices,166.666666666667,2.5,32.9166666666667,3.75,off,grains & pasta,rice,basmati rices,2
ready rice jasmine,jasmine rice,175.0,0.2275,19.5,1.76,off,grains & pasta,rice,jasmine rice,3
ready rice cilantro lime flavored,rices,77.5374078947369,8.36098684210526,19.170375,2.08842315789474,off,grains & pasta,rice,rices,5
quinoa brown rice,ready-rice,125.0,1.875,24.5833333333333,2.91666666666667,off,,,ready-rice,3
